id;eikon_deal_id;verified_deal;potential_deal_cos05;acquiror;manually_checked_acquiror;manually_checked_target;best_match_link_corrected;best_match_review_amount_corrected;full_name;full_name_cleaned;Reviews_cumsum;bucket
3203;34391811270;1;1;1;1;1;https://www.glassdoor.com/Reviews/Babcock-International-Group-Reviews-E10114.htm;100;Babcock International Group PLC;Babcock International Group;586141;2
7875;34391811270;1;1;0;1;1;https://www.glassdoor.com/Reviews/VTG-Reviews-E216117.htm;117;VT Group PLC;VT Group;586258;2
2847;34392043742;1;1;1;1;1;https://www.glassdoor.com/Reviews/International-Paper-Reviews-E356.htm;200;International Paper Co;International Paper;586458;2
7397;34392043742;1;1;0;1;1;https://www.glassdoor.com/Reviews/Temple-Inland-Reviews-E645.htm;62;Temple-Inland Inc;Temple-Inland;586520;2
2429;34392044153;1;1;1;1;1;https://www.glassdoor.com/Reviews/Hologic-Reviews-E1568.htm;878;Hologic Inc;Hologic;587398;2
6982;34392044153;1;1;0;1;1;https://www.glassdoor.com/Reviews/Gen-Probe-Reviews-E15134.htm;56;Gen-Probe Inc;Gen-Probe;587454;2
3047;34392085689;1;1;1;1;1;https://www.glassdoor.com/Reviews/Saga-Group-Reviews-E37545.htm;304;Saga Group Ltd;Saga Group;587758;2
7464;34392085689;1;1;0;1;1;https://www.glassdoor.com/Reviews/Allied-Healthcare-Reviews-E3845.htm;174;Allied Healthcare International Inc;Allied Healthcare International;587932;2
2870;34392112687;1;1;1;1;1;https://www.glassdoor.com/Reviews/Raytheon-Technologies-Reviews-E561.htm;6640;United Technologies Corp;United Technologies;594572;2
7407;34392112687;1;1;0;1;1;https://www.glassdoor.com/Reviews/Goodrich-Reviews-E68.htm;192;Goodrich Corp;Goodrich;594764;2
2650;34392144456;1;1;1;1;1;https://www.glassdoor.com/Reviews/American-Airlines-Reviews-E8.htm;6214;AMR Corp;AMR;600978;2
7078;34392144456;1;1;0;1;1;https://www.glassdoor.com/Reviews/US-Airways-Reviews-E685.htm;519;US Airways Group Inc;US Airways Group;601497;2
2619;34392649641;1;1;1;1;1;https://www.glassdoor.com/Reviews/Eastman-Reviews-E2452.htm;1977;Eastman Chemical Co;Eastman Chemical;603474;2
6971;34392649641;1;1;0;1;1;https://www.glassdoor.com/Reviews/Solutia-Reviews-E7158.htm;49;Solutia Inc;Solutia;603523;2
2645;34392671084;1;1;1;1;1;https://www.glassdoor.com/Reviews/FirstService-Residential-Reviews-E307071.htm;1532;FirstService Corp;FirstService;605055;2
7124;34392671084;1;1;0;1;1;https://www.glassdoor.com/Reviews/Colliers-Reviews-E12136.htm;1700;Colliers International UK PLC;Colliers International UK;606755;2
2424;34392674380;1;1;1;1;1;https://www.glassdoor.com/Reviews/Danaher-Reviews-E193.htm;596;Danaher Corp;Danaher;607351;2
6978;34392674380;1;1;0;1;1;https://www.glassdoor.com/Reviews/X-Rite-Reviews-E2048.htm;68;X-Rite Inc;X-Rite;607419;2
2691;34392679945;1;1;1;1;1;https://www.glassdoor.com/Reviews/Energy-Transfer-Reviews-E6125.htm;439;Energy Transfer Partners LP;Energy Transfer Partners;607858;2
7062;34392679945;1;1;0;1;1;https://www.glassdoor.com/Reviews/Sunoco-Reviews-E629.htm;455;Sunoco Inc;Sunoco;608313;2
2762;34392693221;1;1;1;1;1;https://www.glassdoor.com/Reviews/Dell-Technologies-Reviews-E1327.htm;26900;Dell Inc;Dell;635213;2
6997;34392693221;1;1;0;1;1;https://www.glassdoor.com/Reviews/Quest-Software-Reviews-E9404.htm;886;Quest Software Inc;Quest Software;636099;2
2449;34392714060;1;1;1;1;1;https://www.glassdoor.com/Reviews/Ingram-Micro-Reviews-E5794.htm;2800;Ingram Micro Inc;Ingram Micro;638899;2
6998;34392714060;1;1;0;1;1;https://www.glassdoor.com/Reviews/Brightpoint-Reviews-E2638.htm;52;Brightpoint Inc;Brightpoint;638951;2
2450;34392716951;1;1;1;1;1;https://www.glassdoor.com/Reviews/Elevance-Health-Reviews-E925157.htm;4206;WellPoint Inc;WellPoint;643157;2
6999;34392716951;1;1;0;1;1;https://www.glassdoor.com/Reviews/Amerigroup-Reviews-E12022.htm;365;Amerigroup Corp;Amerigroup;643522;2
2455;34392723054;1;1;1;1;1;https://www.glassdoor.com/Reviews/NRG-Energy-Reviews-E11895.htm;676;NRG Energy Inc;NRG Energy;644198;2
7001;34392723054;1;1;0;1;1;https://www.glassdoor.com/Reviews/GenOn-Energy-Reviews-E381442.htm;46;GenOn Energy Inc;GenOn Energy;644244;2
2593;34392727230;1;1;1;1;1;https://www.glassdoor.com/Reviews/Brookfield-Renewable-Reviews-E22817.htm;311;Brookfield Renewable Energy Partners LP;Brookfield Renewable Energy Partners;644555;2
7159;34392727230;1;1;0;1;1;0;40;Western Wind Energy Corp;Western Wind Energy;644595;2
2465;34392735280;1;1;1;1;1;https://www.glassdoor.com/Reviews/Aetna-Reviews-E16.htm;400;Aetna Inc;Aetna;644995;2
7012;34392735280;1;1;0;1;1;https://www.glassdoor.com/Reviews/Coventry-Health-Care-Reviews-E178.htm;458;Coventry Health Care Inc;Coventry Health Care;645453;2
2697;34392736540;1;1;1;1;1;https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm;79;Health Care REIT Inc;Health Care REIT;645532;2
7014;34392736540;1;1;0;1;1;https://www.glassdoor.com/Reviews/Sunrise-Senior-Living-Reviews-E6023.htm;2200;Sunrise Senior Living Inc;Sunrise Senior Living;647732;2
2466;34392738134;1;1;1;1;1;https://www.glassdoor.com/Reviews/M-and-T-Bank-Reviews-E858.htm;1900;M&T Bank Corp;MandT Bank;649632;2
7015;34392738134;1;1;0;1;1;https://www.glassdoor.com/Reviews/Hudson-City-Bancorp-Reviews-E9174.htm;69;Hudson City Bancorp Inc;Hudson City Bancorp;649701;2
2733;34392754746;1;1;1;1;1;https://www.glassdoor.com/Reviews/Tempur-Sealy-International-Reviews-E26592.htm;328;Tempur-Pedic International Inc;Tempur-Pedic International;650029;2
7022;34392754746;1;1;0;1;1;https://www.glassdoor.com/Reviews/Tempur-Sealy-International-Reviews-E26592.htm;322;Sealy Corp;Sealy;650351;2
2474;34392769024;1;1;1;1;1;https://www.glassdoor.com/Reviews/Riverbed-Technology-Reviews-E34920.htm;1200;Riverbed Technology Inc;Riverbed Technology;651551;2
7056;34392769024;1;1;0;1;1;https://www.glassdoor.com/Reviews/OPNET-Reviews-E11721.htm;55;OPNET Technologies Inc;OPNET Technologies;651606;2
